ts,providerid,click,revenue
2017070104,21,12,3.1599999361492177
2017070111,800000000,3249,0
2017070215,10,4531,7031.510015977122
2017070916,800000000,3170,0
2017071120,60,117551,30914.40572022243
2017071801,26,27,1.2836760000000003
2017072501,19,27,0.33000000000000007
2017072612,8,45,98.22000186186426
2017072722,28,1205,0
2017073008,31,479,0
2017073105,6,21,27.96000041431295
2017080806,31,1460,0
2017080903,6,32,8.399999668448272
2017070200,28,635,0
2017070422,6,14,29.889999742198253
2017071011,10,4379,6128.550002843309
2017071705,21,1,0.12000000981515128
2017071712,800000000,3342,0
2017071816,10,8184,10938.870069075478
2017071912,16,7,7.906560999999999
2017072309,8,14,27.920000584947665
2017072419,28,1372,0
2017072721,60,107906,29316.763370790177
2017073119,21,21,79.20000080022217
2017080112,21,9,24.580000483514166
2017080223,10,5569,7984.120052333926
2017080917,21,9,27.810000546427506
2017070119,6,36,49.00000066508644
2017070215,12,99,20.514898000000006
2017071121,31,1706,0
2017071409,800000000,3364,0
2017071609,16,3,5.381359
2017071801,28,847,0
2017072418,60,128049,34645.56044859
2017072501,21,2,0.6200000174043362
2017072612,10,3622,3986.4999968482393
2017073105,8,21,76.12999699901707
2017080903,8,45,19.920000024385022
2017070311,19,10,0.38000000000000006
2017070422,8,50,44.11000004173293
2017071011,12,74,14.216607000000002
2017071800,60,161340,29145.402581347735
2017071816,12,42,10.631460000000002
2017072205,800000000,4029,0
2017072309,10,2517,2842.2700131410193
2017072405,16,1,1.641648
2017072722,31,2302,0
2017080223,12,219,36.47641499999999
2017081417,800000000,3930,0
2017070119,8,59,80.60000012220515
2017070200,31,4511,0
2017071912,19,31,0.6500000000000001
2017072419,31,1367,0
2017072516,6,18,32.65000050025051
2017072612,12,104,21.789079000000008
2017073001,800000000,2839,0
2017073105,10,2324,3390.5100134143386
2017080709,60,40160,7857.189662332793
2017080903,10,3591,1808.9000115143306
2017081506,28,1496,0
2017070104,26,5,0.661585
2017070311,21,3,2.5300000845126167
2017070422,10,3566,5743.310013939509
2017071609,19,18,0.32999999999999996
2017071801,31,2083,0
2017072309,12,77,11.682207000000005
2017081505,60,58496,14962.507429787476
2017070119,10,4828,7385.580002194386
2017071705,26,13,0.5098919999999999
2017072405,19,19,0.3900000000000001
2017072516,8,66,83.16999945504729
2017073009,6,6,4.099999861398022
2017073105,12,103,17.620035999999992
2017080112,26,1,0.090726
2017080807,6,7,12.830000506016392
2017080903,12,128,
2017080917,26,1,
2017070104,28,923,0
2017070422,12,173,30.829982000000015
2017070909,28,1131,0
2017071011,16,1,3.625416
2017071616,800000000,3306,0
2017071816,16,5,5.294994
2017072501,26,9,0.574592
2017081506,31,1198,0
2017070103,60,82232,17999.298743270483
2017070119,12,115,21.619453000000004
2017070908,60,34933,6845.186348897905
2017071122,6,2,
2017071705,28,1532,0
2017072405,21,6,13.860000969079836
2017072412,800000000,3867,0
2017072500,58,2,0
2017072516,10,8908,10758.700029171954
2017072612,16,2,5.41206
2017073009,8,19,26.1500009231186
2017073119,28,1309,0
2017080112,28,2639,0
2017080807,8,18,54.819999810255446
2017080917,28,1353,
2017070215,19,11,0.56
2017071704,60,64767,20314.85993786513
2017072109,800000000,3309,0
2017072309,16,16,9.951052
2017072501,28,865,0
2017072723,6,32,45.41999924400153
2017073118,60,124454,34149.07673213836
2017080111,60,62886,14593.94986574588
2017080916,60,124661,29937.48049176837
2017070104,31,2881,0
2017070201,6,39,85.99000085548573
2017070311,26,5,0.300649
2017070909,31,622,0
